Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF","C_0402_1005Metric",56.500000,-37.803704,90.000000,bottom
"C3","1uF","C_0402_1005Metric",54.897968,-37.803704,90.000000,bottom
"C4","10uF","C_0805_2012Metric",55.535000,-34.500000,0.000000,bottom
"C5","0.1uF","C_0402_1005Metric",49.520000,-33.000000,0.000000,bottom
"C6","3.3uF","C_0603_1608Metric",50.000000,-34.500000,0.000000,bottom
"C7","3.3uF","C_0805_2012Metric",59.000000,-35.500000,0.000000,bottom
"C8","3.3uF","C_0805_2012Metric",59.000000,-39.500000,0.000000,bottom
"C9","0.1uF","C_0402_1005Metric",48.650000,-26.830000,180.000000,bottom
"C10","0.1uF","C_0402_1005Metric",48.650000,-17.830000,180.000000,bottom
"C11","100uF","CP_Elec_6.3x5.4",48.630000,-22.330000,180.000000,bottom
"C12","2.2uF","C_0603_1608Metric",59.231022,-37.518523,180.000000,bottom
"C13","220uF","CP_Elec_6.3x5.4",59.627038,-26.658874,90.000000,bottom
"C14","220uF","CP_Elec_6.3x5.4",69.000000,-26.725000,90.000000,bottom
"C15","0.1uF","C_0402_1005Metric",59.470000,-33.490000,90.000000,bottom
"C16","10uF","C_0805_2012Metric",31.000000,-29.500000,180.000000,bottom
"C17","22uF","C_0805_2012Metric",31.000000,-35.500000,180.000000,bottom
"D1","SS14","D_SMA",29.500000,-42.500000,180.000000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",26.500000,-37.000000,180.000000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",73.000000,-20.000000,180.000000,bottom
"FID3","Fiducial","Fiducial_1mm_Mask2mm",73.000000,-43.000000,180.000000,bottom
"J7","microSD","microSD_HC_Hirose_DM3D-SF",36.480000,-21.950000,180.000000,bottom
"L1","4.7uH","L_Taiyo-Yuden_NR-30xx",31.000000,-38.500000,180.000000,bottom
"R1","100k","R_0402_1005Metric",70.500000,-38.000000,90.000000,bottom
"R2","100k","R_0402_1005Metric",72.000000,-38.000000,-90.000000,bottom
"R3","1k","R_0603_1608Metric",55.127038,-24.850000,-90.000000,bottom
"R4","1k","R_0603_1608Metric",64.500000,-25.025000,-90.000000,bottom
"R7","100k","R_0402_1005Metric",57.970000,-33.480000,-90.000000,bottom
"R8","10k","R_0402_1005Metric",61.000000,-33.500000,90.000000,bottom
"R9","365k","R_0402_1005Metric",31.000000,-32.490000,90.000000,bottom
"R10","49.9k","R_0402_1005Metric",30.000000,-32.500000,-90.000000,bottom
"R11","10k","R_0402_1005Metric",34.755000,-29.800000,90.000000,bottom
"R12","10k","R_0402_1005Metric",35.755000,-29.800000,90.000000,bottom
"R13","10k","R_0402_1005Metric",39.755000,-30.000000,90.000000,bottom
"U2","CS4344","TSSOP-10_3x3mm_P0.5mm",51.035000,-37.500000,0.000000,bottom
"U3","APA2068","SOP-16-P_3.9x9.9mm_P1.27mm_EP2.18x4.12mm",65.500000,-37.500000,0.000000,bottom
"U4","TPS61023DRLR","SOT-563",33.000000,-32.500000,-90.000000,bottom
"C18","0.1uF","C_0402_1005Metric",51.500000,-23.000000,90.000000,top
"C19","10uF","C_0805_2012Metric",50.000000,-22.950000,90.000000,top
"GND 5V","V+_EXT","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",45.000000,-42.050000,180.000000,top
"GND BAT+","BATTERY","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",38.000000,-42.050000,180.000000,top
"J1","PJ-320A","Jack_3.5mm_PJ320D_Horizontal",67.275000,-20.500000,0.000000,top
"J2","L_SPKR","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",71.500000,-32.500000,-90.000000,top
"J3","R_SPKR","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",70.450000,-42.000000,90.000000,top
"J6","GPIO_BREAKOUT","PinHeader_1x06_P2.54mm_Vertical",26.500000,-18.840000,0.000000,top
"U1","XIAO ESP32-S3","XIAO_ESP32-S3_SMD",38.390000,-26.620000,0.000000,top
